,Idade,Genero,UF,Regiao_origem,Nivel Ensino,Area Formacao,Situacao Trabalho,Setor,Trabalha como Gestao,Cargo como Gestor(a),Cargo Atual,Nivel,Faixa Salarial,Insatisfacao com a Empresa,Tempo XP em Dados,Tempo XP em Software,Criterios de escolha trabalho,Forma de trabalho atual,Forma de trabalho desejada,Faixa Salarial_number
216,41.0,Masculino,MG,,Não tenho graduação formal,,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,1.0,"Sócio ou C-level (CEO, CDO, CIO, CTO etc)",,Gestor,de R$ 4.001/mês a R$ 6.000/mês,,Mais de 10 anos,Mais de 10 anos,Flexibilidade de trabalho remoto,Modelo 100% remoto,Modelo 100% remoto,6000.0
217,35.0,Masculino,SP,,Mestrado,Economia/ Administração / Contabilidade / Finanças,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,1.0,Supervisor/Coordenador,,Gestor,de R$ 3.001/mês a R$ 4.000/mês,,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Plano de carreira e oportunidades de crescimento profissional, Oportunidade de aprendizado e trabalhar com referências na área, Maturidade da empresa em termos de tecnologia e dados",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),4000.0
218,29.0,Feminino,RS,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Setor Alimentício,1.0,Supervisor/Coordenador,,Gestor,de R$ 6.001/mês a R$ 8.000/mês,,de 2 a 3 anos,Menos de 1 ano,Propósito do trabalho e da empresa,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),8000.0
219,43.0,Masculino,SP,,Não tenho graduação formal,,Empreendedor ou Empregado (CNPJ),Indústria,1.0,"Sócio ou C-level (CEO, CDO, CIO, CTO etc)",,Gestor,de R$ 4.001/mês a R$ 6.000/mês,,de 4 a 5 anos,Menos de 1 ano,Reputação que a empresa tem no mercado,Modelo 100% presencial,Modelo híbrido com dias fixos de trabalho presencial,6000.0
220,23.0,Masculino,BA,,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional,Empregado (CLT),Varejo,1.0,Supervisor/Coordenador,,Gestor,de R$ 3.001/mês a R$ 4.000/mês,,de 1 a 2 anos,Menos de 1 ano,"Plano de carreira e oportunidades de crescimento profissional, Propósito do trabalho e da empresa, Remuneração/Salário",Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),4000.0
221,26.0,Masculino,SP,,Mestrado,Outras Engenharias,Empregado (CLT),Marketing,1.0,Team Leader/Tech Leader,,Gestor,de R$ 8.001/mês a R$ 12.000/mês,"Falta de oportunidade de crescimento no emprego atual, Falta de maturidade analítica na empresa, Salário atual não corresponde ao mercado",de 2 a 3 anos,Menos de 1 ano,"Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional, Qualidade dos gestores e líderes",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),12000.0
222,31.0,Masculino,SC,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Indústria,1.0,Supervisor/Coordenador,,Gestor,de R$ 6.001/mês a R$ 8.000/mês,,de 6 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Plano de carreira e oportunidades de crescimento profissional, Qualidade dos gestores e líderes, Remuneração/Salário",Modelo 100% presencial,Modelo híbrido com dias fixos de trabalho presencial,8000.0
223,,Masculino,MG,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Empregado (CLT),Energia,1.0,Gerente/Head/Diretor/VP,,Gestor,de R$ 25.001/mês a R$ 30.000/mês,,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Ambiente e clima de trabalho,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),30000.0
224,51.0,Feminino,PR,Sudeste,Mestrado,Química / Física,Empregado (CLT),Setor Público,1.0,Team Leader/Tech Leader,,Gestor,de R$ 6.001/mês a R$ 8.000/mês,,Mais de 10 anos,Mais de 10 anos,"Remuneração/Salário, Flexibilidade de trabalho remoto, Ambiente e clima de trabalho",Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),8000.0
225,52.0,Masculino,PR,,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Agronegócios,1.0,Gerente/Head/Diretor/VP,,Gestor,de R$ 12.001/mês a R$ 16.000/mês,"Falta de oportunidade de crescimento no emprego atual, Não tenho uma boa relação com meu líder/gestor, Falta de maturidade analítica na empresa",Mais de 10 anos,Mais de 10 anos,"Remuneração/Salário, Propósito do trabalho e da empresa, Maturidade da empresa em termos de tecnologia e dados",Modelo 100% presencial,Modelo híbrido com dias fixos de trabalho presencial,16000.0
226,36.0,Masculino,RJ,,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional,Empregado (CLT),Internet/Ecommerce,1.0,Gerente/Head/Diretor/VP,,Gestor,de R$ 8.001/mês a R$ 12.000/mês,,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),12000.0
227,31.0,Masculino,SE,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Indústria,1.0,Team Leader/Tech Leader,,Gestor,de R$ 4.001/mês a R$ 6.000/mês,,de 6 a 10 anos,de 2 a 3 anos,"Maturidade da empresa em termos de tecnologia e dados, Remuneração/Salário, Propósito do trabalho e da empresa",Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),6000.0
228,46.0,Masculino,GO,Sul,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Educação,1.0,Supervisor/Coordenador,,Gestor,de R$ 6.001/mês a R$ 8.000/mês,Falta de maturidade analítica na empresa,Mais de 10 anos,de 4 a 5 anos,"Flexibilidade de trabalho remoto, Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área",Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),8000.0
229,35.0,Masculino,RJ,,Pós-graduação,Estatística/ Matemática / Matemática Computacional,Empregado (CLT),Educação,1.0,Gerente/Head/Diretor/VP,,Gestor,de R$ 12.001/mês a R$ 16.000/mês,,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,"Remuneração/Salário, Ambiente e clima de trabalho, Flexibilidade de trabalho remoto",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo 100% remoto,16000.0
